time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-12-31T22:06:21.010Z,32.9414,-100.8872,2.51,2.8,mb_lg,,62,1.094,0.7,us,usc000tb1r,2015-01-01T06:08:50.563Z,"24km N of Snyder, Texas",earthquake
2014-12-31T22:03:36.080Z,37.4283,-117.087,7,1.73,ml,6,202.72,0.5,,nn,nn00474702,2014-12-31T22:05:23.036Z,"33km SSE of Goldfield, Nevada",earthquake
2014-12-31T21:53:04.000Z,63.0941,-149.7361,8.4,0.7,ml,,,,0.46,ak,ak11476951,2015-01-01T00:12:00.594Z,"51km SW of Cantwell, Alaska",earthquake
2014-12-31T21:35:44.170Z,35.8973333,-120.435,10.55,0.62,md,24,120,0.01027,0.07,nc,nc72373166,2015-01-01T02:42:22.430Z,"27km SSW of Coalinga, California",earthquake
2014-12-31T21:27:21.050Z,32.4571667,-115.6183333,6.46,2.41,ml,18,188,0.2122,0.25,ci,ci37300648,2015-01-02T22:03:29.310Z,"14km SSW of Progreso, Mexico",earthquake
2014-12-31T21:22:44.000Z,63.5075,-151.2238,2.4,1.1,ml,8,154.799987616001,,0.79,ak,ak11476787,2014-12-31T22:03:36.017Z,"114km W of Cantwell, Alaska",earthquake
2014-12-31T21:17:04.220Z,-17.7032,-178.7877,571.8,4.8,mb,,75,3.011,0.8,us,usc000tb0n,2015-01-01T05:19:46.158Z,"241km SE of Lambasa, Fiji",earthquake
2014-12-31T21:14:56.080Z,38.7901649,-122.7375031,2.28,1.17,md,14,83,0.01657,0.02,nc,nc72373156,2014-12-31T23:58:04.562Z,"2km NE of The Geysers, California",earthquake
2014-12-31T21:10:12.226Z,41.8227,-119.612,1.685,1.42,ml,5,229.58,0.19,0.2142,nn,nn00474706,2014-12-31T22:55:58.466Z,"73km ESE of Lakeview, Oregon",earthquake
2014-12-31T21:10:00.000Z,63.0536,-151.0463,136.5,1.4,ml,,,,0.43,ak,ak11476785,2015-01-01T00:12:03.747Z,"94km NNW of Talkeetna, Alaska",earthquake
2014-12-31T21:09:37.900Z,17.927,-65.4002,9,2.7,Md,3,334.8,0.22188388,0.05,pr,pr14365010,2015-01-01T05:12:13.999Z,"20km SSE of Esperanza, Puerto Rico",earthquake
2014-12-31T21:08:58.576Z,41.8217,-119.61,2.976,1.8,ml,5,229.76,0.192,0.2084,nn,nn00474705,2014-12-31T22:51:25.813Z,"73km ESE of Lakeview, Oregon",earthquake
2014-12-31T21:08:10.300Z,17.9486,-65.3957,9,2.7,Md,3,338.4,0.20930746,0.05,pr,pr14365009,2015-01-01T05:10:38.381Z,"18km SSE of Esperanza, Puerto Rico",earthquake
2014-12-31T21:01:12.500Z,18.6548,-66.9024,16,2.6,Md,14,241.2,0.27129122,0.15,pr,pr14365008,2015-01-01T05:03:40.570Z,"19km NNW of Camuy, Puerto Rico",earthquake
2014-12-31T20:47:03.990Z,32.977,-116.4213333,8.1,1.26,ml,15,70,0.08477,0.15,ci,ci37300640,2015-01-02T21:58:39.180Z,"19km NNE of Pine Valley, California",earthquake
2014-12-31T20:45:53.820Z,38.8408318,-122.829834,2.3,0.96,md,13,58,0.00495,0.03,nc,nc72373146,2014-12-31T23:29:04.343Z,"9km WNW of Cobb, California",earthquake
2014-12-31T20:45:20.400Z,43.7475,-111.0483,2.7,1.8,mc,26,93.5999925120006,0.2191889,0.2,mb,mb14196034,2015-01-02T19:01:13.623Z,"5km ENE of Driggs, Idaho",earthquake
2014-12-31T20:45:17.098Z,41.8593,-119.6069,4.6635,1.11,ml,4,223.93,0.169,0.1807,nn,nn00474704,2014-12-31T22:51:10.148Z,"71km ESE of Lakeview, Oregon",earthquake
2014-12-31T20:40:02.500Z,38.8433342,-122.8288345,2.49,0.57,md,9,173,0.007031,0.03,nc,nc72373141,2014-12-31T23:00:11.531Z,"9km WNW of Cobb, California",earthquake
2014-12-31T20:39:28.100Z,19.1367,-155.4237,41.1,2,Md,,237.6,0.04491576,0.1,hv,hv60825051,2014-12-31T20:42:47.225Z,"9km SE of Pahala, Hawaii",earthquake
2014-12-31T20:38:07.590Z,43.565,-78.6808333,5,1.73,ml,11,107,0.2937,0.42,ld,ld60085511,2014-12-31T20:57:30.530Z,"25km N of Olcott, New York",earthquake
2014-12-31T20:34:19.000Z,63.3943,-149.8927,0,1.5,ml,,,,0.45,ak,ak11476781,2014-12-31T20:54:26.896Z,"47km W of Cantwell, Alaska",earthquake
2014-12-31T20:26:24.720Z,35.1403333,-118.9543333,11.92,2.15,ml,22,143,0.1027,0.17,ci,ci37300632,2015-01-02T21:55:19.010Z,"11km SSW of Weedpatch, California",earthquake
2014-12-31T20:25:35.570Z,41.8488,-119.6096,2.9363,0.86,ml,4,225.54,0.174,0.1183,nn,nn00474995,2015-01-02T23:54:53.471Z,"71km ESE of Lakeview, Oregon",earthquake
2014-12-31T20:11:06.800Z,36.551,-121.148,5.09,1.02,md,23,56,0.04143,0.09,nc,nc72373136,2015-01-07T03:47:01.710Z,"21km NE of Soledad, California",earthquake
2014-12-31T20:04:54.160Z,47.6776667,-120.154,0.58,1.09,md,5,158,0.1359,0.04,uw,uw60944097,2015-01-03T16:47:32.150Z,"4km E of Entiat, Washington",earthquake
2014-12-31T20:02:47.760Z,35.141,-118.9606667,12.03,2.45,ml,24,126,0.1079,0.19,ci,ci37300616,2015-01-02T21:51:05.070Z,"11km SSW of Weedpatch, California",earthquake
2014-12-31T20:01:49.570Z,33.7775,-116.9138333,10.98,0.63,ml,11,130,0.09057,0.09,ci,ci37300624,2015-01-02T21:44:25.698Z,"3km NNW of Valle Vista, California",earthquake
2014-12-31T20:01:41.000Z,62.0305,-149.8598,47.1,1.2,ml,,,,0.37,ak,ak11476772,2015-01-01T04:03:43.854Z,"14km S of Y, Alaska",earthquake
2014-12-31T20:00:40.170Z,33.845,-117.4888333,0.01,1.29,ml,11,115,0.04568,0.16,ci,ci37300608,2015-01-02T21:40:17.230Z,"3km E of El Cerrito, California",quarry_blast
2014-12-31T19:51:24.480Z,38.793335,-122.758667,1.97,0.66,md,12,71,0.01989,0.02,nc,nc72373131,2014-12-31T22:07:02.919Z,"1km N of The Geysers, California",earthquake
2014-12-31T19:49:33.500Z,19.1333,-66.3646,19,2.9,Md,13,284.4,0.86148436,0.15,pr,pr14365007,2015-01-01T03:52:12.938Z,"73km N of Brenas, Puerto Rico",earthquake
2014-12-31T19:47:35.900Z,-10.0011,33.8471,14.21,5.1,mb,,77,7.615,0.9,us,usc000tb03,2015-01-01T03:50:19.871Z,"12km SW of Karonga, Malawi",earthquake
2014-12-31T19:45:04.000Z,63.2913,-148.0469,75.7,0.9,ml,,,,0.57,ak,ak11476703,2014-12-31T20:18:40.246Z,"46km ESE of Cantwell, Alaska",earthquake
2014-12-31T19:33:48.630Z,33.1598333,-116.0048333,3.95,1.64,ml,25,54,0.121,0.14,ci,ci37300600,2015-01-02T21:37:42.090Z,"16km SSW of Salton City, California",earthquake
2014-12-31T19:25:33.380Z,38.8079987,-122.8101654,2.19,1.85,md,38,37,0.01161,0.04,nc,nc72373126,2014-12-31T21:36:05.068Z,"5km NW of The Geysers, California",earthquake
2014-12-31T19:24:05.000Z,54.2515,-164.2525,52.8,2.1,ml,,,,0.44,ak,ak11476698,2014-12-31T20:18:41.471Z,"85km SW of False Pass, Alaska",earthquake
2014-12-31T19:09:39.000Z,65.1467,-149.0984,3.6,1.2,ml,,,,0.42,ak,ak11476696,2014-12-31T19:25:42.085Z,"61km WNW of Ester, Alaska",earthquake
2014-12-31T19:07:33.542Z,41.879,-119.6319,8.2118,1.79,ml,5,220.2,0.142,0.0788,nn,nn00474684,2015-01-06T21:12:41.890Z,"66km ESE of Lakeview, Oregon",earthquake
2014-12-31T19:04:51.920Z,37.9807,72.5748,120.37,4.7,mb,,48,1.803,0.75,us,usc000tazp,2015-01-01T03:07:22.520Z,"102km ENE of Shughnon, Tajikistan",earthquake
2014-12-31T19:01:41.000Z,63.4948,-147.7488,11.8,0.7,ml,,,,0.28,ak,ak11476694,2014-12-31T20:18:40.843Z,"61km ENE of Cantwell, Alaska",earthquake
2014-12-31T18:59:25.000Z,62.4334,-148.4616,19.2,0.5,ml,,,,0.15,ak,ak11476693,2014-12-31T20:54:28.093Z,"73km NNE of Sutton-Alpine, Alaska",earthquake
2014-12-31T18:55:06.690Z,44.7626667,-111.1111667,8.57,0.11,md,10,77,0.034,0.16,uu,uu60097157,2015-01-05T16:09:38.400Z,"11km N of West Yellowstone, Montana",earthquake
2014-12-31T18:47:07.660Z,38.7509995,-122.703331,2.78,1.13,md,10,112,0.008712,0.04,nc,nc72373121,2014-12-31T21:07:05.562Z,"5km ESE of The Geysers, California",earthquake
2014-12-31T18:41:55.000Z,53.4711,-166.6697,64.6,1.8,ml,,,,0.17,ak,ak11476779,2014-12-31T20:37:11.076Z,"45km S of Unalaska, Alaska",earthquake
2014-12-31T18:32:35.940Z,37.5165,-118.8278333,6.09,0.6,md,10,151,0.07341,0.02,nc,nc72373116,2014-12-31T19:10:01.526Z,"19km SE of Mammoth Lakes, California",earthquake
2014-12-31T18:31:39.990Z,32.9473,-100.8401,5,3.2,mb_lg,,50,1.058,0.84,us,usc000tazd,2014-12-31T22:49:55.294Z,"26km NNE of Snyder, Texas",earthquake
2014-12-31T18:28:38.240Z,34.272,-117.0186667,9.31,2.41,ml,89,24,0.01867,0.14,ci,ci37300592,2015-01-02T21:32:49.110Z,"10km WNW of Big Bear Lake, California",earthquake
2014-12-31T18:24:08.000Z,60.8398,-150.4387,34.8,1.8,ml,,,,0.05,ak,ak11476625,2014-12-31T18:51:24.616Z,"38km NNE of Sterling, Alaska",earthquake
2014-12-31T18:20:45.000Z,63.4147,-149.8882,2.7,1.3,ml,,,,0.32,ak,ak11476624,2014-12-31T18:34:08.973Z,"46km W of Cantwell, Alaska",earthquake
2014-12-31T18:11:10.450Z,-27.5989,-177.0768,70.92,4.8,mb,,40,1.803,0.51,us,usc000taz6,2015-01-01T02:13:38.612Z,"201km NNE of Raoul Island, New Zealand",earthquake
2014-12-31T18:11:08.792Z,41.8236,-119.6231,4.2906,1.33,ml,5,229.25,0.184,0.2151,nn,nn00474694,2014-12-31T20:23:51.464Z,"72km SE of Lakeview, Oregon",earthquake
2014-12-31T17:56:23.000Z,62.3697,-149.0492,4.5,1,ml,,,,0.31,ak,ak11476619,2014-12-31T20:37:11.656Z,"47km ENE of Y, Alaska",earthquake
2014-12-31T17:51:20.000Z,63.2704,-150.3645,109.2,2,ml,,,,0.71,ak,ak11476615,2014-12-31T18:16:44.099Z,"72km W of Cantwell, Alaska",earthquake
2014-12-31T17:39:51.150Z,38.8100014,-122.814003,2.85,0.88,md,19,107,0.01191,0.02,nc,nc72373106,2014-12-31T19:42:02.496Z,"6km NW of The Geysers, California",earthquake
2014-12-31T17:35:08.000Z,66.8343,-155.9588,9.5,2,ml,,,,0.5,ak,ak11476614,2014-12-31T20:00:45.506Z,"41km E of Kobuk, Alaska",earthquake
2014-12-31T17:19:43.844Z,38.4532,-119.26,6.3963,1.7,ml,7,164.56,0.149,0.085,nn,nn00474653,2015-01-01T01:22:39.353Z,"12km NW of Bridgeport, California",earthquake
2014-12-31T17:10:59.700Z,19.371,-155.0983,2.9,1.9,Ml,,136.8,0.00898315,0.11,hv,hv60824981,2015-01-01T01:13:35.997Z,"15km S of Fern Acres, Hawaii",earthquake
2014-12-31T16:58:10.689Z,41.8288,-119.6227,3.1128,1.42,ml,4,228.45,0.18,0.1353,nn,nn00474964,2015-01-02T22:42:04.319Z,"72km ESE of Lakeview, Oregon",earthquake
2014-12-31T16:40:58.240Z,44.7378333,-110.6296667,4.26,1.74,ml,22,94,0.042,0.19,uu,uu60097147,2014-12-31T17:13:23.840Z,"34km NNE of Old Faithful Geyser, Wyoming",earthquake
2014-12-31T16:40:32.000Z,63.459,-146.0715,0,1.7,ml,,,,0.78,ak,ak11476548,2014-12-31T17:06:55.217Z,"62km SW of Deltana, Alaska",earthquake
2014-12-31T16:33:46.920Z,36.5725,-121.174,6.34,1.12,md,24,40,0.01317,0.08,nc,nc72373096,2015-01-07T07:43:04.780Z,"21km NE of Soledad, California",earthquake
2014-12-31T16:32:46.350Z,11.8053,124.2613,55.24,4.5,mb,,138,8.707,0.73,us,usc000tayp,2015-01-05T05:45:29.387Z,"10km WNW of Maripipi, Philippines",earthquake
2014-12-31T16:27:29.000Z,58.8284,-153.3066,88.7,3,ml,,,,0.92,ak,ak11476537,2015-01-01T00:30:11.204Z,"125km NNW of Kodiak Station, Alaska",earthquake
2014-12-31T16:12:02.960Z,21.89,93.3057,56.4,4.6,mb,,124,3.893,0.76,us,usc000taym,2015-01-05T05:38:32.221Z,"74km SSE of Saiha, India",earthquake
2014-12-31T16:04:51.500Z,47.6111,-113.8985,15.8,1,mc,13,179.999985600001,0.1221709,0.13,mb,mb14039415,2014-12-31T22:47:24.785Z,"16km E of Pablo, Montana",earthquake
2014-12-31T16:02:29.166Z,41.8361,-119.6159,3.4674,0.84,ml,5,227.42,0.179,0.1997,nn,nn00474693,2014-12-31T20:23:41.835Z,"72km ESE of Lakeview, Oregon",earthquake
2014-12-31T16:01:16.560Z,46.2016667,-122.1878333,4.14,0.93,md,4,225,0.0126,0.06,uw,uw60944017,2014-12-31T18:37:04.880Z,"38km NNE of Amboy, Washington",earthquake
2014-12-31T15:49:09.000Z,65.1279,-148.9712,4.4,1.6,ml,,,,0.62,ak,ak11476484,2014-12-31T16:13:51.905Z,"54km NW of Ester, Alaska",earthquake
2014-12-31T15:44:06.000Z,62.7644,-148.5442,60,0.7,ml,,,,,ak,ak11476483,2014-12-31T15:57:10.385Z,"72km SSE of Cantwell, Alaska",earthquake
2014-12-31T15:38:02.970Z,38.8358333,-122.8023333,2.95,0.15,md,10,71,0.00971,0.02,nc,nc72373091,2015-01-07T02:47:04.371Z,"7km WNW of Cobb, California",earthquake
2014-12-31T15:36:55.750Z,33.5986667,-116.8178333,9.62,0.98,ml,28,55,0.04002,0.11,ci,ci37300584,2015-01-02T21:03:16.100Z,"14km WNW of Anza, California",earthquake
2014-12-31T15:19:22.473Z,41.8304,-119.6525,3.3608,0.31,ml,3,317.44,0.164,0.1029,nn,nn00474955,2015-01-02T22:22:53.724Z,"69km SE of Lakeview, Oregon",earthquake
2014-12-31T15:16:09.300Z,19.4397,-155.4497,9.4,1.7,Md,,50.4,0.07186522,0.12,hv,hv60824961,2014-12-31T22:14:04.733Z,"22km W of Volcano, Hawaii",earthquake
2014-12-31T15:13:38.300Z,47.6123333,-120.3215,15.5,1.77,md,10,97,0.01152,0.2,uw,uw60944007,2014-12-31T18:19:53.080Z,"11km SW of Entiat, Washington",earthquake
2014-12-31T15:08:02.000Z,64.4247,-148.4479,15.7,1.1,ml,,,,0.63,ak,ak11476476,2014-12-31T15:22:35.404Z,"36km ESE of North Nenana, Alaska",earthquake
2014-12-31T15:05:43.000Z,63.212,-150.329,109.3,1.2,ml,,,,0.67,ak,ak11476475,2014-12-31T16:31:29.640Z,"71km WSW of Cantwell, Alaska",earthquake
2014-12-31T15:05:26.713Z,41.8554,-119.6351,5.631,0.68,ml,4,223.97,0.155,0.0692,nn,nn00474951,2015-01-02T22:13:42.909Z,"69km ESE of Lakeview, Oregon",earthquake
2014-12-31T14:55:59.590Z,38.8504982,-122.7983322,2.76,1.15,md,8,180,0.01359,0.02,nc,nc72373086,2014-12-31T16:30:05.533Z,"7km WNW of Cobb, California",earthquake
2014-12-31T14:54:05.450Z,38.8515015,-122.7983322,2.81,0.57,md,9,102,0.003478,0.01,nc,nc72373076,2014-12-31T15:32:07.301Z,"7km WNW of Cobb, California",earthquake
2014-12-31T14:51:40.225Z,38.4491,-119.2708,11.8275,1.33,ml,4,199.73,0.142,0.0831,nn,nn00475783,2015-01-07T00:00:29.879Z,"21km N of Bridgeport, California",earthquake
2014-12-31T14:49:46.100Z,35.7739,139.9156,88.03,4.5,mb,,130,0.507,1.07,us,usc000tayf,2015-01-07T11:56:05.623Z,"1km SE of Matsudo, Japan",earthquake
2014-12-31T14:41:33.000Z,61.769,-150.8446,65.9,2.9,ml,,,,0.59,ak,ak11476467,2014-12-31T22:44:14.496Z,"42km W of Willow, Alaska",earthquake
2014-12-31T14:40:40.100Z,64.7671,-17.0126,7.24,4.4,mb,,141,6.041,0.82,us,usc000taye,2014-12-31T22:43:11.286Z,"103km NW of Hofn, Iceland",earthquake
2014-12-31T14:31:49.000Z,65.1666,-149.07,9.6,1,ml,,,,0.79,ak,ak11476416,2014-12-31T17:24:22.942Z,"61km NW of Ester, Alaska",earthquake
2014-12-31T14:23:25.930Z,36.6996,140.9086,9.78,4.4,mb,,183,0.744,0.79,us,usc000tayc,2014-12-31T17:12:59.246Z,"16km ESE of Kitaibaraki, Japan",earthquake
2014-12-31T14:20:25.700Z,-5.4534,151.8248,52.42,5,mb,,46,1.298,0.77,us,usc000tayb,2014-12-31T22:23:05.694Z,"131km SSW of Kokopo, Papua New Guinea",earthquake
2014-12-31T14:05:16.200Z,18.5447,-68.8981,163,3.6,Md,4,349.2,1.69601926,0.31,pr,pr14365006,2014-12-31T22:07:47.377Z,"9km ESE of Guaymate, Dominican Republic",earthquake
2014-12-31T13:39:12.960Z,40.2185,-121.2231667,7.43,1.72,md,7,288,0.2346,0.07,nc,nc72373066,2015-01-01T03:01:03.543Z,"9km S of Chester, California",earthquake
2014-12-31T13:34:37.460Z,38.7465,-122.7105,0.12,0.36,md,7,101,0.005824,0.04,nc,nc72373061,2015-01-07T02:35:02.829Z,"5km SE of The Geysers, California",earthquake
2014-12-31T13:19:45.000Z,66.9797,-156.2862,10.3,3.2,ml,,,,0.53,ak,ak11476362,2014-12-31T21:22:19.578Z,"27km ENE of Kobuk, Alaska",earthquake
2014-12-31T13:17:13.700Z,19.7742,-156.1562,32.5,2.1,Md,,255.6,0.17966306,0.16,hv,hv60824931,2014-12-31T21:15:28.466Z,"18km WNW of Kalaoa, Hawaii",earthquake
2014-12-31T13:02:46.660Z,38.8358345,-122.7938309,2.5,0.76,md,11,77,0.003745,0.02,nc,nc72373056,2014-12-31T14:04:04.659Z,"6km WNW of Cobb, California",earthquake
2014-12-31T13:01:49.770Z,38.8359985,-122.793663,2.6,1.01,md,11,138,0.003537,0.02,nc,nc72373051,2014-12-31T13:35:04.822Z,"6km WNW of Cobb, California",earthquake
2014-12-31T12:56:43.000Z,53.6234,-165.9438,42.3,1.6,ml,,,,0.28,ak,ak11476361,2014-12-31T17:06:54.577Z,"48km SE of Unalaska, Alaska",earthquake
2014-12-31T12:50:00.840Z,35.571,-118.4135,8.22,1.5,ml,9,164,0.104,0.07,ci,ci37300576,2015-01-02T20:56:00.428Z,"7km SE of Lake Isabella, California",earthquake
2014-12-31T12:43:13.220Z,34.5985,-118.6436667,8.82,1.38,ml,15,104,0.06776,0.11,ci,ci37300568,2015-01-02T20:51:03.630Z,"12km N of Castaic, California",earthquake
2014-12-31T12:40:27.000Z,61.4698,-150.007,36.3,1.8,ml,,,,0.22,ak,ak11476359,2014-12-31T13:04:19.944Z,"6km SSW of Big Lake, Alaska",earthquake
2014-12-31T12:40:11.880Z,45.9498333,-122.4783333,18.04,0.6,md,8,251,0.1278,0.09,uw,uw60943992,2014-12-31T18:23:01.830Z,"5km NNW of Amboy, Washington",earthquake
2014-12-31T12:19:15.000Z,60.2956,-151.3288,43.8,1.7,ml,,,,0.23,ak,ak11476357,2014-12-31T12:47:14.367Z,"8km S of Cohoe, Alaska",earthquake
2014-12-31T12:10:21.200Z,45.7005,-112.174,9.6,1.8,mc,20,64.7999948160004,0.2281721,0.09,mb,mb14513264,2014-12-31T22:47:20.427Z,"19km SSW of Whitehall, Montana",earthquake
2014-12-31T12:09:33.880Z,38.8151665,-122.819664,2.82,0.64,md,7,140,0.009737,0.01,nc,nc72373046,2014-12-31T13:18:02.873Z,"6km NW of The Geysers, California",earthquake
2014-12-31T12:07:41.080Z,37.4531667,-113.1101667,7.2,0.96,ml,5,145,0.098,0.03,uu,uu60097142,2014-12-31T15:35:28.590Z,"25km S of Cedar City, Utah",earthquake
2014-12-31T11:43:16.000Z,60.5143,-151.1815,49.3,1.6,ml,,,,0.22,ak,ak11476355,2014-12-31T11:56:35.939Z,"5km WSW of Ridgeway, Alaska",earthquake
2014-12-31T11:25:40.290Z,47.5253333,-122.8186667,16.59,0.24,md,6,231,0.03075,0.09,uw,uw60943987,2014-12-31T18:39:47.040Z,"8km N of Belfair, Washington",earthquake
2014-12-31T11:13:03.000Z,62.8666,-150.7997,103.9,2.4,ml,,,,0.37,ak,ak11476346,2014-12-31T11:39:18.315Z,"70km NNW of Talkeetna, Alaska",earthquake
2014-12-31T11:11:40.160Z,33.8923333,-116.9016667,16.11,1.1,ml,29,82,0.1047,0.16,ci,ci37300560,2015-01-02T20:46:18.870Z,"4km SSW of Banning, California",earthquake
2014-12-31T11:01:15.816Z,41.8316,-119.6196,0,1.38,ml,4,228.04,0.18,0.1946,nn,nn00474934,2015-01-02T21:31:57.096Z,"72km ESE of Lakeview, Oregon",earthquake
2014-12-31T11:00:29.022Z,41.8358,-119.6161,3.0878,2.11,ml,4,227.46,0.179,0.1482,nn,nn00474641,2014-12-31T18:48:10.080Z,"69km ESE of Lakeview, Oregon",earthquake
2014-12-31T10:48:26.916Z,41.8371,-119.6177,4.3339,1.74,ml,5,227.23,0.177,0.1988,nn,nn00474640,2014-12-31T13:53:43.575Z,"71km ESE of Lakeview, Oregon",earthquake
2014-12-31T10:43:29.834Z,41.8328,-119.6184,1.9937,0.8,ml,4,227.9,0.179,0.1713,nn,nn00474928,2015-01-02T21:13:38.550Z,"72km ESE of Lakeview, Oregon",earthquake
2014-12-31T10:41:36.850Z,35.9036667,-117.7135,2.95,0.95,ml,11,98,0.06762,0.14,ci,ci37300552,2015-01-02T20:39:45.329Z,"29km N of China Lake Acres, California",earthquake
2014-12-31T10:30:19.770Z,41.8338,-119.617,2.7754,1.16,ml,5,227.76,0.179,0.1921,nn,nn00474639,2014-12-31T13:53:35.488Z,"72km ESE of Lakeview, Oregon",earthquake
2014-12-31T10:21:49.710Z,13.8021,120.7542,152.43,4.6,mb,,106,8.853,0.96,us,usc000taxx,2014-12-31T18:24:21.055Z,"7km SE of Hukay, Philippines",earthquake
2014-12-31T10:06:28.000Z,60.4817,-147.3442,19.4,2.3,ml,,,,1.03,ak,ak11476301,2014-12-31T10:33:54.102Z,"80km ESE of Whittier, Alaska",earthquake
2014-12-31T10:03:27.055Z,41.831,-119.623,1.303,0.96,ml,4,228.1,0.178,0.2143,nn,nn00474638,2014-12-31T13:48:52.483Z,"71km ESE of Lakeview, Oregon",earthquake
2014-12-31T10:02:20.590Z,38.8228333,-122.7775,1.58,0.21,md,11,103,0.009658,0.02,nc,nc72373036,2015-01-07T02:15:05.167Z,"4km W of Cobb, California",earthquake
2014-12-31T09:38:03.754Z,41.8469,-119.6334,0,0.77,ml,3,322.85,0.162,0.0927,nn,nn00474901,2015-01-02T19:45:50.499Z,"70km ESE of Lakeview, Oregon",earthquake
2014-12-31T09:37:56.290Z,44.6558333,-110.4195,2.24,1.43,ml,8,205,0.087,0.16,uu,uu60097137,2014-12-31T15:33:53.720Z,"39km NE of Old Faithful Geyser, Wyoming",earthquake
2014-12-31T09:32:25.100Z,19.0252,-68.507,39,3.2,Md,6,342,1.43371119,0.3,pr,pr14365005,2014-12-31T17:34:53.258Z,"44km NNE of Otra Banda, Dominican Republic",earthquake
2014-12-31T09:26:24.070Z,13.7769,120.7201,121.81,5.2,mb,,30,8.82,0.87,us,usc000taxu,2015-01-01T08:39:29.040Z,"7km SSE of Hukay, Philippines",earthquake
