Object,glon,glat,dist,e_dist,Vlsr,e_Vlsr,Assoc
BBW89     ,251.01,-2.82,1.79,0.37,29.2,0.2,
BBW135A   ,251.54,2.01,2.24,0.38,25.5,0.8,BBW135B
BBW114    ,251.88,-0.47,2.78,0.57,33.4,0.5,
BBW104B   ,252.39,-1.4,0.09,0.02,11.5,0.5,
BBW106    ,252.93,-1.9,1.31,0.27,10.9,0.5,
BBW146    ,253.58,2.23,3.85,0.79,35.9,0.5,
BBW122    ,253.81,-0.9,1.36,0.19,11.3,0.5,
BBW124    ,253.97,-0.39,2.41,0.18,35.1,1,BBW125A; BBW127; BBW133
BBW125B   ,254.06,-0.56,7.73,1.58,34.7,0.5,
BBW138    ,254.68,0.22,11.43,2.33,68.2,0.3,
BBW95     ,255.42,-4.46,0.79,0.08,9.6,0.5,BBW102
BBW109    ,255.42,-3.04,2.69,0.55,5.1,0.7,
BBW121    ,255.68,-2.27,0.33,0.07,9.4,0.5,
BBW56     ,255.83,-10.44,0.25,0.02,-3.9,1.1,
BBW119    ,255.83,-2.6,0.64,0.13,9.8,0.5,
BBW167    ,255.92,3.99,2.64,0.54,-16.1,0.5,
BBW143A   ,258.31,-1.96,0.51,0.1,8.9,1,
BBW129    ,259.24,-3.66,0.59,0.05,9.4,0.5,BBW132
BBW11     ,259.56,-16.48,0.23,0.05,3.6,0.5,
BBW141A   ,259.57,-2.82,1.85,0.2,10,0.5,BBW141B;BBW141C;BBW141E;BBW141F;BBW141G;BBW141J
BBW160    ,260.06,0.55,0.95,0.09,7.1,1.4,BBW165; BBW166;BBW169;BBW172
BBW93     ,260.38,-7.99,2,0.41,3,0.5,
BBW149    ,260.49,-2.54,2.49,0.51,8.1,1.5,
BBW176    ,261.38,0.84,0.72,0.07,4.9,0.8,
BBW173    ,261.47,0.32,1.21,0.25,7.5,0.5,
BBW184    ,262.09,1.17,0.7,0.14,7.9,0.5,
BBW177    ,262.18,0.36,0.4,0.08,8.2,0.5,
BBW159    ,262.86,-2.41,0.62,0.03,8.7,3,
BBW192D   ,263.11,1.61,1.2,0.24,5.4,0.5,
BBW182    ,263.56,-0.1,2.12,0.21,7.1,3.6,BBW183;BBW185;BBW186
BBW205    ,264.08,1.51,2.87,0.63,7.1,0.6,BBW206B
BBW206C   ,264.7,1.45,0.61,0.06,6.7,0.5,BBW210;BBW214;BBW215
BBW162    ,266.07,-4.3,1.51,0.31,5,0.5,
BBW137    ,266.2,-7.79,0.36,0.08,3.1,0.5,BBW139
BBW187B   ,266.47,-2.02,4.83,0.99,23.8,0.5,
BBW201    ,266.98,-1.27,0.77,0.16,2.1,0.5,
BBW237    ,267.95,1.81,0.52,0.08,-0.9,0.5,
BBW195A   ,268.16,-2.7,1.47,0.21,13,2.3,
BBW193B   ,268.45,-1.9,1.51,0.13,1.4,0.8,BBW194;BBW213;BBW213;BBW223;BBW224
BBW227    ,268.59,-0.61,0.78,0.16,4.7,2.2,
BBW235    ,268.86,0.53,0.65,0.13,0.8,1.5,
BBW236    ,270.02,-0.51,0.61,0.12,1.9,0.5,
BBW246    ,270.13,0.85,3.4,0.69,9.8,1.6,
BBW239    ,270.43,-0.27,1.07,0.22,2.1,0.5,
BBW247    ,270.82,0.69,1.36,0.28,5.4,2.4,
BBW268    ,271.22,4.98,0.74,0.15,-2.6,0.6,
BBW255    ,271.23,0.96,0.53,0.11,0.6,0.5,
BBW240    ,272.83,-2.34,2.45,0.5,6.5,0.5,
BBW264    ,274.7,-1.47,4.41,0.9,3.1,0.5,
BBW265    ,275.57,-2.2,1.57,0.32,3.2,0.5,
BBW281A   ,281.83,-2.06,2.4,0.34,-7,0.5,BBW281B
BBW288    ,282.35,-1.39,1.97,0.4,-18,0.5,
BBW285    ,282.71,-2.48,2.22,0.49,-17.6,0.5,
BBW283    ,282.88,-3.14,1.64,0.15,-3.1,0.5,
BBW287    ,283.76,-3.41,3.73,0.76,-0.7,0.5,
BBW300B   ,284.3,-0.31,2.31,0.46,19.3,1.5,
BBW298    ,284.76,-3.06,2.21,0.24,-1.2,0.5,
BBW322A   ,285.87,4.44,3.42,1.06,-24.1,0.5,BBW322B
BBW316D   ,286.21,-0.2,2.31,0.17,-21.5,0.9,
BBW309F   ,286.28,-0.52,1.58,0.32,14.6,0.5,
BBW321B   ,286.35,3.24,1.07,0.22,-12.6,0.5,
BBW324    ,287,2.64,3.13,0.49,-13.5,0.6,BBW325
BBW311    ,287.22,-3.05,3.1,0.63,-7.7,0.5,
BBW314    ,288.97,-3.84,1.28,0.26,-13.6,0.5,
BBW323    ,289.78,-3.23,3.42,0.7,-14.3,0.5,
BBW328    ,290.34,-2.98,3.08,0.37,-12.9,0.5,
BBW347    ,290.35,1.62,2.91,0.34,-19.2,0.5,
BBW331    ,290.36,-2.84,8.55,1.74,-16.6,0.5,
BBW348A   ,291.29,-0.68,2.65,0.32,-24,0.5,
BBW353    ,291.94,2.06,2.23,0.45,-23,0.5,
BBW358    ,292.94,1.32,4.45,0.91,-21.8,0.5,
BBW362    ,294.04,-1.75,2.25,0.13,-17.9,0.5,
BBW372    ,295.48,0.47,1.29,0.15,-13.4,0.5,
BBW373    ,295.71,-0.34,1.15,0.18,-16.2,0.5,
BBW371    ,296.25,-3.57,3.6,0.47,-30,0.6,
BBW374    ,296.49,-2.77,3.28,0.47,-26.3,0.5,
BBW377    ,297.02,-1.71,2.9,0.59,-29.8,0.5,
BBW341    ,297.25,-15,0.07,0.01,4.6,0.5,
BBW382    ,298.42,0.69,2.11,0.43,-32.5,0.5,
BBW384    ,298.94,0.48,1.86,0.41,-25.7,0.5,
BBW386B   ,299.34,-0.29,5.37,0.6,-40.4,0.5,BBW386C;BBW386E;BBW386G
BBW387    ,299.57,-0.85,2.27,0.33,-35.3,1.6,BBW388
BBW396    ,300.53,-0.05,2.14,0.22,-22.8,0.5,
BBW399    ,303.66,-3.51,1.28,0.26,-23.3,0.5,
BBW400B   ,304.94,0.51,1.13,0.23,-35.2,1.2,
